movieId,keywords
70,dancing showdown sheriff sibling relationship vampire bank robber holy water siege stripper priest bank robbery preacher hostage situation crucifix recreational vehicle mexican american border female stripping boa constrictor loss of faith foot fetish killer on the run brothers barefoot witty
71,"hacker based on novel or book miami, florida bomb chase sadism kidnapping hostage psychopath spy detective handcuffs fbi kgb pizza parking garage police protection car crash remake fugitive on the run conspiracy shootout gunfight sadist foot chase police detective police station held at gunpoint double cross machine gun grenade launcher rogue agent woman lawyer damsel in distress"
72,friendship college male friendship campus video store graduate
73,"paris, france nun boxer lawyer"
74,florist family relationships
75,bully
76,man vs machine alien planet struggle for survival android horror
77,
78,loss of loved one hit-and-run revenge tragedy
79,court case jurors blackmail son trial courtroom blasphemy courtroom drama legal thriller
80,fish money celebration goldfish
81,"friendship bounty hunter hitman parent child relationship gangster psychopath boat way of life paranoia coffin denver, colorado godmother diner revenge murder mafia illegal prostitution extramarital affair"
82,underdog mentally disabled suicide right and justice rape free love parent child relationship loss of loved one village life philosophy widow freedom peasant village world war ii mathematics feminism indian summer  family history single male homosexuality domestic violence university woman director
83,racial segregation family relationships rural area
85,class society insect rich woman poor man victorian england scientist incest based on short story naturalist unfaithful wife brother sister sex brother sister incest
86,sailing trip sailing diary coming of age survival teenage boy discipline squall sail caribbean sea male bonding seasickness storm at sea 1960s gay interest
87,boss fistfight bully orangutan single father hotel manager jewel theft employer employee relationship bali father son relationship brother brother relationship mischief
88,corrupt politician nitrous oxide candid camera double act political satire woman director
89,"assassination politics los angeles, california"
92,monster servant laboratory jekyll and hyde housemaid 19th century
93,"vampire brooklyn, new york city african american comedy african american romance black vampire"
94,friendship small town massachusetts coming of age hometown group of friends
95,canyon helicopter underground river mexican standoff countdown pilot fistfight major betrayal gunfight train explosion park ranger desert military hostile nuclear device boxing stealth aircraft abandoned mine action hero humvee antagonistic audacious authoritarian ominous
96,transvestite theatre group black and white nostalgic hamlet christmas gay theme theater
97,"police brutality hip-hop paris, france socially deprived family breakdance ghetto male friendship street riots racism black and white rebellious youth xenophobia housing project ethnic diversity riot police day in a life frantic skinheads paris suburb gun death police shooting urban violence"
99,narration based on true story hollywood prostitution sex crime
100,drug dealer new york city corruption undercover agent police undercover presidential election war on drugs mayor investigation mafia city hall mob hit political corruption corrupt mayor corrupt judge accidental shooting suicide by gun corrupt police officials political ambition mafia family
101,robbery sibling relationship burglar motel language barrier heist psychiatric hospital maid theft nervous breakdown escapade laundry room based on short film joyous absurd
102,
103,"obsession suspicion of murder seattle, washington medical examiner murder crime scene painful memories death of wife dangerous side effects search for truth experimental drug murdered wife neurobiology"
104,sports loss of loved one golf taxes class differences prize money driving range rich snob anger issues old-age home boy meets girl loss of home grandmother grandson relationship winner takes all hockey player child raised by grandmother putting joyful golf tournament sports comedy grandma-grandson relationship repossessed home
105,adultery secret love husband wife relationship based on novel or book love of one's life unsociability marriage crisis photographer love at first sight photography peasant mother role iowa bridge housewife love letter romantic
106,prophecy voodoo single falling in love woman director rich man gay theme
107,island pirate gang puppet treasure hunt puppetry pirate duringcreditsstinger anthropomorphic puppets lighthearted
108,
110,england scotland loss of loved one idealism based on true story catholic medieval war dramatic powerful
111,"drug dealer vietnam veteran new york city taxi pornography obsession taxi driver 1970s pimp observer firearm politician alienation junk food misanthrophy vigilante political campaign cynical illegal prostitution urban decay character study loner manhattan, new york city meditative neo-noir child prostitution complex new hollywood dreary cautionary drives provocative antagonistic audacious callous"
112,"new york city martial arts supermarket diamond gang war disabled child revenge vigilante organized crime gang fish out of water wedding urban setting street life bronx, new york city duringcreditsstinger frantic action hero"
113,suspicion of murder family drama crime investigation murdered teen
116,fascism auschwitz-birkenau concentration camp victim typhus interview prejudice burglary rabbit
117,"london, england poison stepmother based on true story murder mental institution serial killer psychiatrist social misfit poisoner"
118,roommates single love best friend brooklyn bridge
119,"sibling relationship twin brother lawyer estate santa barbara, california"
121,child abuse orphanage 1970s based on true story newfoundland and labrador catholic priest child sexual abuse intimate suspenseful child rape
122,ladykiller success ladies' man casanova womanizer african american business african american romance
123,drug smuggling police ex-girlfriend girlfriend snack bar romance hong kong expiration date flight attendant cleaning relaxed hilarious romantic joyful
125,lsd looking for  birth parents half-brother
126,flying magic sequel dragon based on children's book fantasy world
128,
129,"career romance los angeles, california first love traffic"
132,"adultery call girl san francisco, california sexuality blackmail eroticism investigation seduction murder serial killer prostitution erotic thriller"
135,mutiny submarine u.s. navy misfit maverick hijinks nemesis navy lieutenant comradeship nuclear submarine navy officer comedy of errors navy admiral band of misfits war games naval command
137,mockumentary male homosexuality in the closet found footage gay theme
140,"career miami, florida affectation reporter candid intimate absurd admiring adoring amused informative sympathetic vibrant"
141,coming out florida homophobia drag queen nightclub senator politician based on play or musical remake conservative cross dressing gay parent lgbt political conflict south beach playing straight drag club
144,love best friend true love irish catholic independent film
145,"miami, florida mexican standoff male friendship witness protection stripper car crash strip club internal affairs police corruption gunfight foot chase witness to murder drug lord murder investigation nostalgic hangar loose cannon buddy cop male camaraderie narcotics detective action hero buddy movie stolen drugs awestruck"
146,china panda poacher animals
147,new york city sports heroin addiction basketball friends based on memoir or autobiography drugs 1960s school suspension gay theme teenager
148,"based on novel or book england liverpool, england theatre company 1940s"
149,baffled
150,"rescue florida race against time moon nasa spaceman based on true story houston, texas survival space disaster explosion astronaut hypothermia apollo program lunar mission spacecraft accident"
151,affectation biography 18th century highlands violent man scottish highlands joyous hopeful
152,new york city vampire philosophy addiction
153,riddle superhero villain rose based on comic partner robin broken neck psychologist criminal district attorney millionaire super power falling down stairs tied up beretta knocked out disfigurement father figure good versus evil
154,adultery prostitute jealousy dreams husband wife relationship dual identity double life sexual frustration brothel women's sexual identity masochism sexual exploration
155,burma rangoon doctor
156,smoking corner shop cigarette tobacco
157,the white house political satire international relations war plan red
158,friendship afterlife supernatural halloween bullying treasure hunt based on comic friends teenage girl ghost hunting super power psychiatry ghost disorder young heroes imaginary mischievous children ghost child mischief unfinished business hilarious
159,"drug pusher train drugs drug lord brooklyn, new york city housing project inner city life"
160,based on novel or book diamond gorilla congo diamond mine tribe survival ancient civilization zoologist
161,mutiny submarine missile embassy nuclear missile battle for power u.s. navy terrorism military moral dilemma post cold war aircraft carrier chain of command launch code sonar nuclear submarine direct suspenseful commanding
162,"underground san francisco, california fetish artist nerd biography counter-culture drawing art swinging 60s ec comics brothers"
163,gunslinger showdown mexico ambush hitman guitar anti terror bartender revenge tragic hero shootout mariachi explosion brutality drug lord leg brace concealed weapon book store
164,"based on novel or book war veteran jazz club murder los angeles, california biting private detective missing person framed for a crime aggressive neo-noir 1940s complex egotistical"
165,"new york city taxi gold helicopter robbery police bomb riddle detective fbi sequel flashback revenge shootout explosion nypd cargo ship wild goose chase simon says dump truck harlem, new york city aqueduct bomb threat action hero deadly game federal reserve bank nyc subway assertive excited"
166,friendship california robbery nazi nihilism eroticism blow job controversy punk rock surrealism severed head drifter on the road threesome shoplifting polyamory voyeur shocking aggressive crystal meth intense bold
168,camelot betrayal knight king arthur love affair excalibur knights of the round table lancelot
169,whale human animal relationship killer whale
170,new york city computer hacker computer virus virtual reality prank internet cyberpunk hacking secret service dream sequence playful enthusiastic informative instructive
171,"new york city aids celibacy based on play or musical hiv priest fate manhattan, new york city 1990s gay friend male male relationship gay theme"
172,virtual reality dystopia pharmaceutical industry computer chip courier cyber cyberpunk cyberspace based on short story
173,corruption judge dystopia superhero post-apocalyptic future villain trial based on comic cyberpunk police officer revenge motive justice based on graphic novel frame up law enforcement framed for murder gene prosthetic limb dna testing domineering futuristic city action hero good versus evil ridiculous
174,stripper jury jury duty verdict
175,puberty first time new york city drug abuse coming of age hiv juvenile delinquent shoplifting underage sex sexually transmitted disease sleeping around complex juvenile delinquency independent film banned film critical disgusted
176,film in film vomiting 1990s crying man low-budget filmmaking
177,supernatural fanatic resurrection occult sect wizard occult detective
178,gay theme lesbian homossexualismo
179,high school suicide attempt affectation college melancholy road trip teen angst mental institution teenage love mental illness troubled teen woman director teenage romance angry paranoid aggressive candid philosophical absurd admiring adoring ambiguous ambivalent amused exuberant melodramatic
180,game show slacker shopping mall ex-boyfriend ex-girlfriend relationship silent man coke bandleader aftercreditsstinger
181,superhero team ethnic diversity mmpr absurd amused antagonistic enthusiastic
183,police chase snuff murder mute disk
184,new york city vampire
185,california assassin mexico computer program computer virus therapist new identity secret organization vacation on the run conspiracy hacking internet chat ill mother loner computer programming hospitalization analyst cyber terrorism computer programmer single woman surveillance state internet surveillance erased computer disc stolen life santa monica pier imposter
186,baby parent child relationship pregnancy marriage desire to have children
187,new york city library nightclub rave free spirit dj woman director librarian food vendor playful independent film party witty enthusiastic hopeful
188,angel archangel gabriel
189,trauma game show female protagonist disturbed christmas complex introspective absurd bewildered
190,pollution quarantine chemical allegory housewife medicine suburbia female protagonist allergy disease psychiatrist illness san fernando valley disorder retreat 1980s enviromentalism multiple chemical sensitivity (mcs) environmental illness chronic illness psiquiatra
191,"based on novel or book boston, massachusetts pregnancy witch burning puritan period drama extramarital affair 17th century"
193,dancing go-go dancer striptease spanner affectation seduction sexappeal strip club rivalry las vegas malicious showgirls cautionary provocative dramatic dancing girls incredulous egotistical bitter admiring callous mean spirited melodramatic
194,smoking robber cigarette laden writer
195,horse based on true story family savannah georgia
196,"genetics telepathy paranoia dna transformation instinct alien femme fatale decapitation on the run sexual attraction los angeles, california creature scientist sexual desire cocoon genetic engineering interspecies romance alien dna amused"
198,"new year's eve future pornography prostitute police brutality dreams rape police virtual reality paranoia ex-girlfriend bodyguard rapper dystopia minidisc ex-cop murder cyberpunk los angeles, california criminal private detective revolt tech noir woman director euphoric réveillon"
199,"car mechanic letter normandy, france musical single umbrella 1950s 1960s somber cherbourg, france earnest"
201,baseball korean war (1950-53) drifter dog woman director
202,"paris, france mentor poet biography based on play or musical lgbt woman director 19th century gay theme"
203,new york city transvestism homophobia drag queen road trip travel drag woman director mischievous amused
204,pentagon u.s. air force satellite u.s. navy seal train terrorism cyber terrorism action hero good versus evil
205,woman director
206,fashion
207,pregnancy world war ii vineyard love remake harvest grape abandoned woman admiring adoring assertive celebratory familiar
208,sailboat human evolution tattoo ocean mutant pirate gang pirate melting ice caps oil tanker barmaid free diving water planet environmental disaster reluctant hero underwater fight new species of human genetic mutation survival at sea special child futuristic world
209,dystopia black white relations angry alternate universe introspective arrogant
210,loss of eyesight opium biography sioux wild bill hickok calamity jane
211,
212,cave mistaken identity waterfall boy scouts leader
213,husband wife relationship colonel
214,"london, england monk mountain restaurant war photographer fashion photographer albanian macedonia guerra da bósnia"
215,"talking soulmates walking austria vienna, austria semi autobiographical playful cliché"
216,family business  school woman director back to school
217,alcohol obsession babysitter parents
218,friendship escape aids homophobia homicide roommates car journey female friendship road trip friends domestic violence fresh start abusive boyfriend lesbian chosen family
219,aids mississippi river minnesota male friendship hiv sick child
220,child abuse monster haunted house castle sexual violence inheritance car accident cannibal death estranged wife blindness voyeurism infanticide blind woman death of a child low budget lovecraftian
222,college forbidden love moral conflict childhood friends 1950s
223,salesclerk work new jersey gas station loser male friendship junk food black and white video store aftercreditsstinger day in a life workplace comedy convenience store wry
224,sex addiction love mental institution patient psychiatrist don juan
225,"based on novel or book seattle, washington employee workplace sexual harassment intrigue erotic thriller computer technology"
227,"florida washington dc, usa miami, florida extreme sports training emergency landing u.s. marshal tragedy airplane hijacking skydiving break in federal agent fourth of july escaped prisoner criminal gang dea prison break loss of brother revenge thriller prisoner transport airplane passenger crazy former agent prisoner escort robbery crew skydiving school skydiving instructor skydiving team"
228,heist expectant father
229,married couple based on play or musical chile pinochet regime revenge doctor torture humiliation
230,depression child abuse island based on novel or book detective suspicion of murder abusive father melancholy dysfunctional family lawsuit alcoholism murder maine domestic violence reporter maid anger alcoholic father macabre angry accident abusive husband anti-depressant bank account antagonistic awestruck
231,gas station utah motel stupidity cigar smoking road trip pill prank criminal buddy fired from the job clumsiness stepparent stepchild relationship aspen colorado parakeet defecation scooter endangered species foolish laxative
232,daughter cooking sense of life aging taiwan teacher food taiwanese dating family chef widower taipei father daughter relationship sister sister relationship chinese cuisine sisters gastronomia masterchef aging man
233,eroticism striptease nightclub pet shop trauma strip club unhappiness dancing girls drama
234,island based on novel or book smuggling (contraband) sexuality romance love mistress kinky bdsm detective comedy
235,"individual taxi fortune teller transsexuality transvestite movie business drug addiction boxer oddball celebrity morphine los angeles, california black and white suburb theremin handgun trick or treating 1950s"
236,"friendship airport countryside paris, france smuggling (contraband) in love with enemy fear of flying necklace vineyard deal fiancé break-up cannes"
237,"paris, france crisis dallas, texas basketball falling in love told in flashback referee aftercreditsstinger"
238,wilderness boy and dog pets
239,parent child relationship pop singer cartoon musical road trip celebrity coming of age first love cross country trip father son relationship
240,
241,based on novel or book parent child relationship reincarnation flashback talking dog car accident dog pets
242,"opera sibling relationship eunuch biography dresden, germany opera singer"
243,country music pig talking pig hopeful
246,"chicago, illinois sports narration ghetto college basketball high school sports inner city high school student"
247,mother obsession literature christchurch based on true story love friends murder relationship 1950s absurd compassionate sincere
248,"christmas party christmas tree pittsburgh, pennsylvania identity theft christmas"
249,composer deaf letter biography sister-in-law character study uncle nephew relationship für elise ludwig van beethoven portrait of an artist life and career classical musician biographical drama musician’s journey
250,summer camp psychopath overweight obesity instructor weight loss fitness center camp classic
251,martial arts assassin samurai self sacrifice villainess secret society fistfight ninja one man army one against many sword duel good versus evil
252,wedding vows mathematician princeton university car mechanic comet halley's comet 1950s matchmaker research scientist albert einstein
253,"paris, france based on novel or book san francisco, california vampire bite new orleans, louisiana plantation louisiana pity child vampire gothic horror 18th century plague 19th century urban gothic reluctant vampire"
254,"ambassador france paris, france revolution biography versailles president 18th century thomas jefferson"
255,new york city gangster prank telephone call
256,baby media pregnancy medicine scientist burlesque shocking male pregnancy fertility gynaecology ceasarean birth baffled
257,florida small town rape based on novel or book professor innocence harvard university revenge serial killer
258,time travel earthquake camelot king arthur medieval 6th century
259,prison new york city undercover agent gangster psychopath paranoia witness protection remake revenge murder organized crime recovering alcoholic federal agent hoodlum undercover operation neo-noir
260,empire galaxy rebellion android hermit smuggling (contraband) freedom rebel rescue mission space planet desert super power oppression space opera wizard totalitarianism star wars
261,depression parent child relationship holiday pregnancy sister desire chalkboard nightgown birth of twins woman director christmas 19th century christmas romance adoring four sisters
262,based on novel or book parent child relationship boarding school servant private school female friendship school little girl orphan class differences india schoolgirl presumed dead attic magic realism interracial friendship african american servant
263,love family social services
265,jealousy sibling relationship based on novel or book cooking marriage mexican revolution platonic love wedding single mother magic realism former lovers lovers separated
266,sibling relationship post-traumatic stress disorder (ptsd) based on novel or book world war i journey around the world montana loyalty ranch affectation native american tragedy interracial marriage sibling rivalry falling in love interracial friendship 1910s 1900s political aspiration father son relationship brother brother relationship prohibition beautiful landscapes melodramatic u.s. army soldier
267,war veteran headquarter military spoof military base military service base major instructor
269,"east los angeles gang los angeles, california poverty gang member hispanic mexican american girl gang woman director cholo chola echo park"
270,cruise disabled empire state building accident accident victim
271,self-abandonment child abuse mother baby based on novel or book court case single parent social worker smoking drug addiction adoption social work son liberation custody battle looking for  birth parents racist surrogate mother interracial relationship extramarital affair
272,husband wife relationship biography based on true story based on play or musical parliament mental illness mental health 18th century king of england assassination attempt aristocracy british monarchy self destructiveness
273,experiment remake gothic horror macabre angry philosophical goth anxious intimate audacious callous compassionate sympathetic cólera
274,
275,holiday transvestite slapstick comedy remake rollerblades cross dresser woman director suicide hotline christmas
276,prostitute tree house red-light district stripper make a match mob boss father son relationship
277,new love holiday department store santa claus miracle wish remake christmas amused apologetic compassionate
278,candid intimate understated sentimental adoring amused familiar optimistic
279,"immigrant marriage family relationships los angeles, california family death of wife"
280,prison prisoner death row alcatraz prison lawyer courtroom murder trial 1940s mistreatment public defender prisoner abuse
281,small town illegal employment retirement new york state
282,lake loss of loved one twin sister autism kaspar-hauser-syndrom feral child forest north carolina psychologist family
283,hip-hop new jersey police brutality troubled teen black youths
284,
285,suicide experiment based on novel or book detective hallucination scientist drugs killer
287,
288,daughter journalist sadistic mass murder yellow press pop culture trauma controversy satire young couple abuse anxious killer couple love on the run tense fugitive lovers ambiguous antagonistic
289,"fortune teller soulmates venice, italy cheating rome, italy italy ouija board matchmaking impulsive love destiny"
290,individual suicide rape strong woman tattoo slum funeral alcohol tradition approved school  loss of loved one despair indigenous ghetto violent husband new zealand maori lack of prospects maori tradition teacher youth gang crush domestic violence rebellious youth alcohol abuse incest unemployment auckland
291,obsession diary sequel murder lust art woman director erotic movie
292,research army general river monkey epidemic medical research
293,hotel room new york city immigrant assassin police brutality corruption s.w.a.t. hitman loss of loved one training revenge murder loneliness neighbor tragic love city life neo-noir complex relationship suspenseful tense órfão
294,immigration woman director political prisoner cuban refugees
295,jealousy teenage crush arsonist house fire
296,"drug dealer drug crime stolen money crime boss redemption los angeles, california theft nonlinear timeline multiple storylines neo-noir dramatic amused"
298,martial arts culture clash chinatown tai chi american culture fish out of water new york state generation gap intercultural relationship family home culture shock multigenerational
299,child abuse sexual abuse faith confession communion celibacy forbidden love sin priest religion morality church incest roman catholic church united kingdom catholicism confessional catholic priest crisis of faith woman director secret relationship moral dilemma abuse holy communion religious belief gay theme gay relationship homosexuality gay priest liverpool rahip
300,investigation manipulation manipulation of the media game show idealism tv ratings based on true story quiz idealist product placement lawyer 1950s tv show fighting the system audacious awestruck cruel frustrated programa de tv
301,hawaii arranged marriage cultural difference orphan older man younger woman relationship woman director
302,"paris, france based on novel or book marriage of convenience royalty conspiracy palace intrigue 16th century religious persecution st. bartholomew's day massacre french history"
303,gunslinger revenge prairie shootout awestruck powerful
304,funeral grandparent grandchild relationship birthday roommates vegetarian orphan based on short story deathbed
305,"hotel room paris, france mannequin suspicion of murder fashion photographer sandwich poodle reporter fashion fashion show modeling"
306,"infidelity judge isolation shadowing english channel geneva, switzerland retiree dog surveillance prediction unlikely friendship manifest destiny love destiny fashion model empathetic"
307,"france paris, france composer pain to compose loss of loved one psychological drama french"
308,france hairdresser sexual frustration businessman funeral love poland psychological french arthouse
310,
311,therapist suspicion serial killer special education
312,dysfunctional family public access
313,princess kingdom cartoon musical romcom swan
314,sea island legend family history family relationships seagull ireland storytelling seal (animal) seaweed talking to animals fishing boat lost at sea lost son selkie isolated gaelic music irish folklore human becoming an animal irish sea animal behaviour animal human friendship animals & nature donegal grandfather granddaughter relationship inishtrahull island gaelic
315,based on novel or book explosive fistfight revenge organized crime urban setting explosives expert neo-noir action hero
316,egypt teleportation pyramid space travel uprising space androgyny space western timebomb death of son nuclear weapons space opera hieroglyph egyptian mythology egyptology
317,"chicago, illinois elves winter holiday christmas party deal santa claus christmas tree child custody christmas father son relationship santa's elves christmas eve elf"
318,prison friendship police brutality corruption based on novel or book freedom hope prison cell delinquent redemption parole board prison escape wrongful imprisonment interracial friendship framed for murder hopeless 1940s voiceover relaxed appreciative compassionate exhilarated hopeful
319,"distrust scotland roommates overdose dark comedy edinburgh, scotland money shallow grave exploitation of friendship neo-noir grim mischievous cautionary absurd tense witty friendship comedy ambiguous dubious wry boundaries of friendship"
320,amnesia betrayal black and white twins evil twin identity swap
321,"cuba 1970s artist male friendship social commentary male homosexuality lgbt havana, cuba communism gay theme"
322,"career kidnapping manipulation dark comedy satire punishment revenge hollywood los angeles, california humiliation disgruntled worker verbal abuse studio executive movie producer evil boss"
324,"sydney, australia australia based on play or musical breaking the fourth wall lgbt father son relationship gay theme"
325,
326,child abuse china gambling gambling debt cultural revolution chinese civil war shadow puppet 1940s 1950s 1960s
327,dystopia destroy reincarnation based on comic desert woman director 2030s
328,prostitute key chosen one based on comic god demon crypt keeper
329,android spacecraft teleportation starship loss of loved one death space opera exploding planet mountain cabin solar system cosmos spanning generations legendary hero spaceship crash outer space emotional instability generazioni
330,prison child abuse police brutality ku klux klan ghetto hell plantation anthology evil doll murder hood dirty cop devil funeral director funeral home mortician possessed doll former slave
331,
332,pregnancy village alien life-form alien bewusstlosigkeit doppelgänger
333,road trip buddy
334,
335,armored car heist attempted robbery neo-noir
336,vietnam jungle
337,mentally disabled sibling relationship based on novel or book widow iowa dysfunctional family obesity single mother grocery store mentally handicapped child
338,"android artificial intelligence (a.i.) computer program video game virtual reality nanotechnology hologram ex-cop visual effect serial killer cyberpunk los angeles, california police training good versus evil"
339,"chicago, illinois coma sibling relationship love of one's life holiday brother subway romcom man of one's dreams love hospital christmas close family"
340,vietnam veteran bullying kids
341,daughter immigrant parent child relationship culture clash interracial romance dating family audition generation gap woman director
342,daughter individual friendship dreams love of one's life becoming an adult return overweight province bathing olympic games boredom empowerment
343,friends camp summer club woman director summer school
344,"miami, florida dolphin detective human animal relationship stupidity mascot slapstick comedy animals private detective pets"
345,australia van homophobia drag queen affectation musical transsexual lgbt australian aboriginal australian outback aggressive zealous alice springs gay theme playful transgender absurd whimsical admiring adoring amused appreciative approving awestruck celebratory defiant vibrant
